 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 513 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.909744, time_gap_set = 300, time_left = 0.000000, ontime = 514 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 515 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 516 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 517 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.383415, time_gap_set = 300, time_left = 0.000000, ontime = 518 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 519 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 520 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.471138, time_gap_set = 300, time_left = 0.000000, ontime = 521 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 522 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 523 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 524 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 525 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 526 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.471138, time_gap_set = 300, time_left = 0.000000, ontime = 527 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 528 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 529 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.471138, time_gap_set = 300, time_left = 0.000000, ontime = 530 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.734303, time_gap_set = 300, time_left = 0.000000, ontime = 531 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.865887, time_gap_set = 300, time_left = 0.000000, ontime = 532 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.339554, time_gap_set = 300, time_left = 0.000000, ontime = 533 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 534 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 535 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.427277, time_gap_set = 300, time_left = 0.000000, ontime = 536 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.822025, time_gap_set = 300, time_left = 0.000000, ontime = 537 
 remote_now = 33, step = 0, weight = 8388608, weight_zero = 0, drop_count = 0, drop_time_avg = 0, temperature = -55.778164, time_gap_set = 300, time_left = 0.000000, ontime = 538 
